"scanid","taskname","accuracy.mean","accuracy.se","rtcorrect.mean","rtcorrect.se","timedout.sum"
"9228_1_1.3T2","grid1",0.78,0.1,3.6,0.34,3
"9228_1_1.3T2","grid2",0.78,0.1,3.4,0.33,2
"9228_1_1.3T2","grid3",0.72,0.11,3.4,0.4,2
"9228_1_1.3T2","grid4",0.78,0.1,3,0.32,1
"9228_1_1.3T2","sym1",0.94,0.056,2.3,0.19,1
"9228_1_1.3T2","sym2",0.94,0.056,3,0.3,1
"9228_1_1.3T2","sym3",1,0,3,0.35,0
"9228_1_1.3T2","sym4",0.94,0.056,2.4,0.28,1
"9405_1_1.3T2","sym1",0.83,0.09,3.3,0.23,2
"9409_1_1.3T2","sym1",0.83,0.09,2,0.15,0
"9409_1_1.3T2","sym1_redo",0.89,0.076,2.4,0.28,0
"9409_1_1.3T2","sym2",0.61,0.12,2.3,0.24,0
"9409_1_1.3T2","sym2_redo",0.89,0.076,2.4,0.23,0
"9409_1_1.3T2","sym3",0.78,0.1,2.4,0.28,0
"9409_1_1.3T2","sym3_redo",0.83,0.09,2.5,0.28,0
"9409_1_1.3T2","sym4",0.94,0.056,2.3,0.21,0
"9409_1_1.3T2","sym4_redo",0.78,0.1,2.9,0.3,0
"9409_2_1.3T2","grid1",0.83,0.09,3.5,0.25,0
"9409_2_1.3T2","sym1",0.89,0.076,2.4,0.25,0
"9409_2_1.3T2","sym2",0.72,0.11,2.4,0.37,1
"9409_2_1.3T2","sym2_redo",0.94,0.056,2.8,0.27,0
"9409_2_1.3T2","sym3",0.89,0.076,2.6,0.31,1
"9409_2_1.3T2","sym3_redo",0.83,0.09,2.7,0.27,0
"9409_2_1.3T2","sym4",0.83,0.09,2.2,0.32,0
"9409_2_1.3T2","sym4_redo",0.94,0.056,2.8,0.3,0
